"filename", "language", "C", "RISC-V Assembly", "LinkerScript", "C++", "Batch", "Shell Script", "Markdown", "Makefile", "JSON", "CMake", "CMake Cache", "Log", "TypeScript", "comment", "blank", "total"
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\init\first_task_entry.S", "RISC-V Assembly", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 14
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\init\init.c", "C", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 49, 192
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\init\init.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\init\start_kernel.S", "RISC-V Assembly", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 162
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\ipc\mutex.c", "C", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\ipc\sem.c", "C", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 56
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\kernel.lds", "LinkerScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\tools\bitmap.c", "C", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 17, 85
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43, 244
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\tools\list.c", "C", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 87
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\kernel\tools\log.c", "C", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 48
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\loader\loader.h", "C", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\loader\loader_16.c", "C", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 99
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\loader\loader_32.c", "C", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 31, 121
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\loader\start_loader.S", "RISC-V Assembly", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\shell\link.lds", "LinkerScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"e:\Data\Work\Job\Cpp\diy-x86os\start\start\source\shell\main.c", "C", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"Total", "-", 3053, 191, 45, 232, 16, 38, 515, 842, 3685, 726, 361, 84, 10, 992, 2554, 13344
